model,scenario,Avg_Return,Avg_Std,Avg_Sharpe,Avg_CVaR,Avg_Omega,Avg_Sortino
EqualWeight,student_t,0.0002097488155280532,0.00025525878960428974,0.8423566242678276,0.00018792260376017072,15.081969560517786,2.5246494868622733
Omega,student_t,0.0003445604078112575,0.0005109113587811555,0.6971468953774539,0.0003008769468212924,7.483736516296847,1.8930785712586784
CVaR,student_t,0.00012255265094562794,8.485940056504729e-5,10.10674460660824,0.00011536533701048525,Inf,NaN
MV,student_t,0.00012219218984186266,8.432049603688588e-5,34.6884348360592,0.00011505396129659431,Inf,NaN
MVEU,student_t,0.00012405945207787612,8.82548839055037e-5,3.8197340588631064,0.00011651958677611476,Inf,NaN
EqualWeight,gaussian,7.511204636041167e-5,0.0011013285133025198,0.11769603976687708,-4.7232351569105145e-5,1.4302938120096513,0.20381528645255328
Omega,gaussian,0.00010980624151712058,0.0005403364208919206,75.15184994554977,5.438839170159261e-5,Inf,NaN
CVaR,gaussian,8.188582689594311e-5,0.0007128936620011307,73.60631630888713,1.7207056234151364e-6,Inf,NaN
MV,gaussian,8.188202976190423e-5,0.0007127947395594368,75.67500183616102,1.7356986368992213e-6,Inf,NaN
MVEU,gaussian,8.141711532890644e-5,0.0007217981384061561,6.534060768512415,1.867486980344232e-7,Inf,NaN
EqualWeight,unfiltered,0.00017073981473137416,0.0038116297633631873,0.09021888077101803,-0.00022712285008202486,1.3514850636636155,0.1541981204969917
Omega,unfiltered,-6.824932821983869e-6,0.004237708892979878,1.8565206724326135,-0.0004611953888702485,Inf,NaN
CVaR,unfiltered,0.00010747651441850229,0.000797696219669937,45.87616367214902,2.8609367016411067e-5,Inf,NaN
MV,unfiltered,0.00010744697792061196,0.0007975839031974107,47.68870855402656,2.86000155788284e-5,Inf,NaN
MVEU,unfiltered,0.00010772824411202557,0.0008031941970772865,4.111093663816478,2.8221742286961738e-5,Inf,NaN
